17:29:44.682,17:30:01.738,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,Split Bearer Config / Split Bearer Config (Primary Path: MCG / ul-DataSplitThreshold: infinity)
17:29:44.700,17:30:01.748,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:29:48.195,17:30:05.247,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
17:29:48.217,17:30:05.260,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:29:48.981,17:30:06.029,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A5 / Serving(pci 236, ss-rsrp -106.0, ss-rsrq -17.0) / Neighbor(pci 756, ss-rsrp -90.0)
17:29:49.026,17:30:06.076,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2074081 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
17:29:49.104,17:30:06.117,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
17:29:49.123,23:54:48.319,<---,BCCH:BCH,5GNR,5GNR MasterInformationBlock,subCarrierSpacingCommon : scs120
17:29:49.144,17:30:06.187,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
17:29:49.145,17:30:06.196,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
17:30:37.868,17:30:54.925,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
17:30:37.881,17:30:54.938,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:30:41.757,17:30:58.809,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A3 / Serving(pci 756, ss-rsrp -111.0, ss-rsrq -12.5) / Neighbor(pci 755, ss-rsrp -107.0)
17:30:41.849,17:30:58.901,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2074081 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
17:30:41.901,17:30:58.922,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
17:30:41.920,17:30:58.967,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
17:30:41.921,17:30:58.976,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
17:30:43.310,17:31:00.365,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
17:30:43.324,17:31:00.375,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
17:30:50.684,17:31:07.736,--->,UL DCCH,LTE,LTE measurementReport,Event : A3 / Serving(-82, -11.5)
17:30:50.789,17:31:07.832,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request(DiffLTE-DiffNR) / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2074081 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
17:30:50.803,17:31:07.849,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
17:30:50.836,17:31:07.862,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
