00:43:51.000,00:44:11.467,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:43:52.051,00:44:12.565,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-91, -13.5), Neighbor(nr-arfcn 2084071, pci 498, rsrp -97.0, rsrq -10.5)
00:43:52.219,00:44:12.725,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-91, -13.5), Neighbor(nr-arfcn 2074081, pci 498, rsrp -95.0, rsrq -10.5)
00:43:52.464,00:44:12.965,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-91, -15.0), Neighbor(nr-arfcn 648672, pci 395, rsrp -83.0, rsrq -10.5)
00:43:52.512,00:44:13.015,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request(DiffLTE-DiffNR) / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:43:52.569,00:44:13.044,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
00:43:52.570,00:44:13.068,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,CONNECTION_REQUEST
00:43:52.571,00:44:13.086,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:43:52.592,00:44:13.087,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:43:57.305,00:44:17.817,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:43:57.316,00:44:17.828,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:43:57.628,00:44:18.133,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:43:57.634,00:44:18.144,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:43:58.451,00:44:18.949,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A5 / Serving(pci 395, ss-rsrp -85.0, ss-rsrq -10.5) / Neighbor(pci 498, ss-rsrp -82.0)
00:43:58.486,00:44:18.994,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2074081 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:43:58.544,00:44:19.037,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
00:43:58.620,22:54:48.319,<---,BCCH:BCH,5GNR,5GNR MasterInformationBlock,subCarrierSpacingCommon : scs120
00:43:58.653,00:44:19.154,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
00:43:58.654,00:44:19.165,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:44:00.704,00:44:21.219,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:00.725,00:44:21.237,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:01.065,00:44:21.578,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,Split Bearer Config / Split Bearer Config (Primary Path: MCG / ul-DataSplitThreshold: infinity)
00:44:01.074,00:44:21.588,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:01.521,00:44:22.032,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:01.551,00:44:22.049,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:01.851,00:44:22.349,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A3 / Serving(pci 498, ss-rsrp -107.0, ss-rsrq -11.0) / Neighbor(pci 499, ss-rsrp -99.0)
00:44:01.880,00:44:22.393,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2074081 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:44:01.944,00:44:22.419,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
00:44:01.977,00:44:22.474,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
00:44:01.977,00:44:22.487,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:44:02.626,00:44:23.138,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:02.646,00:44:23.158,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:03.270,00:44:23.778,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
00:44:03.283,00:44:23.798,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
00:44:03.318,00:44:23.829,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A3 / Serving(pci 499, ss-rsrp -108.0, ss-rsrq -11.5) / Neighbor(pci 500, ss-rsrp -103.0)
00:44:03.371,00:44:23.881,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2074081 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:44:03.443,00:44:23.908,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
